name,length,geometry
"['7th Avenue', '36th Street', '37th Street']",1015.0569999999999,"LINESTRING (-74.0021589 40.6529468, -74.0020828 40.6529008, -73.9997561 40.6514939, -73.9996962 40.6514576, -73.9978538 40.6503424, -73.9978288 40.6503081, -73.9978227 40.6502777, -73.9978274 40.6502476, -73.9978574 40.6502084, -73.9981826 40.6498895, -73.9982226 40.6498345, -73.9982471 40.6497735, -73.9982478 40.6497165, -73.9982244 40.6496763, -73.9981592 40.6496236, -73.9960377 40.6483452, -73.9940267 40.6471207, -73.9939308 40.6470666)"
"['Hillel Place', 'Kenilworth Place']",562.017,"LINESTRING (-73.948761 40.632021, -73.94841 40.6323083, -73.9493449 40.6331915, -73.950228 40.634026, -73.9521446 40.6358283, -73.952258 40.635943)"
"['Van Siclen Avenue', 'Seaview Avenue']",1188.4470000000001,"LINESTRING (-73.8775623 40.6439581, -73.877467 40.6441295, -73.8774133 40.6442014, -73.8770758 40.6446634, -73.8769275 40.644885, -73.8767685 40.6451224, -73.8767569 40.6451397, -73.8764 40.6456729, -73.8762131 40.6459521, -73.8761874 40.6459906, -73.876142 40.6460583, -73.8761249 40.6461235, -73.8761335 40.6462016, -73.8761664 40.6462461, -73.8764706 40.6466581, -73.8768042 40.64711, -73.8768977 40.6472367, -73.876945 40.6473007, -73.8774246 40.6479503, -73.8775903 40.6481748, -73.8777482 40.6483886, -73.8778487 40.6485248, -73.878137 40.6489154, -73.8783088 40.649148, -73.8784479 40.6493365, -73.8790854 40.6501934, -73.8796107 40.6508996, -73.8801079 40.6515679, -73.8806303 40.6522808, -73.8810741 40.6528837, -73.8814206 40.6533323)"
"['Floyd Bennett Drive', 'Aviation Road']",1378.577,"LINESTRING (-73.8940589 40.5887053, -73.8917673 40.5866587, -73.8913467 40.5863067, -73.8907459 40.5858439, -73.890291 40.5854997, -73.8879993 40.5837841, -73.8869693 40.5830866, -73.8867891 40.5829562, -73.8866517 40.5827998, -73.8865158 40.5825795, -73.8867186 40.5825207, -73.887181 40.5823813, -73.8877352 40.5822294, -73.8880915 40.5821499, -73.8881866 40.5821287, -73.8891153 40.5819615, -73.8894092 40.5819139, -73.8896526 40.5818774, -73.8898174 40.5818645, -73.8900797 40.5818672, -73.8906721 40.5818874, -73.8910657 40.5819004, -73.891119 40.5818997, -73.8911934 40.5818942, -73.8913356 40.5818599, -73.8914296 40.5817976, -73.891546 40.5817205)"
"['East 31st Street', 'Farragut Place', 'East 32nd Street']",1091.7130000000002,"LINESTRING (-73.945617 40.631778, -73.9456264 40.6318655, -73.9458592 40.6340354, -73.945868 40.634117, -73.9460988 40.6362918, -73.946109 40.636388, -73.9462377 40.6374821, -73.9466219 40.6374618, -73.9471712 40.6374318, -73.9470528 40.6364353, -73.947044 40.636329, -73.9468182 40.6341844, -73.9468141 40.6341456, -73.946805 40.634059)"
"['East 108th Street', 'Stanley Avenue']",899.822,"LINESTRING (-73.895861 40.651881, -73.8951304 40.6512258, -73.8951044 40.6512025, -73.8943032 40.6504839, -73.8942224 40.6504125, -73.8943032 40.6504839, -73.8951044 40.6512025, -73.8951304 40.6512258, -73.895861 40.651881, -73.8968279 40.6527506, -73.8975319 40.6533834, -73.89761 40.653454, -73.896782 40.65381, -73.8960162 40.6541417, -73.895944 40.654173, -73.8960162 40.6541417, -73.896782 40.65381)"
"['East 35th Street', 'East 34th Street', 'Brooklyn Road']",1349.362,"LINESTRING (-73.9427378 40.6319651, -73.9427771 40.6324085, -73.9429656 40.6341783, -73.942978 40.634295, -73.94321 40.6364617, -73.943221 40.636564, -73.9432306 40.6366517, -73.943341 40.6376683, -73.9438902 40.6376279, -73.9442613 40.6376006, -73.9441658 40.6366182, -73.9441633 40.6365929, -73.944155 40.636507, -73.9439269 40.6343672, -73.943913 40.634237, -73.9436807 40.6320223, -73.9436667 40.6319066)"
"['Wilson Street', 'Wythe Place', 'Taylor Street']",1196.173,"LINESTRING (-73.9595092 40.7073648, -73.9595401 40.7072833, -73.9606975 40.7065101, -73.960767 40.706464, -73.9608392 40.7064173, -73.9623952 40.7054098, -73.962485 40.705352, -73.9625666 40.7052996, -73.96428 40.704201, -73.964903 40.704762, -73.9643599 40.7051044, -73.9631773 40.7058501, -73.963098 40.7059, -73.9630159 40.7059517, -73.96143 40.706954, -73.961363 40.706997, -73.96143 40.706954, -73.9630159 40.7059517, -73.963098 40.7059)"
"['Shore Parkway North', 'West 16th Street']",699.014,"LINESTRING (-73.9827895 40.5838059, -73.9838452 40.5840015, -73.9848323 40.5841905, -73.984928 40.584596, -73.985331 40.586712, -73.984928 40.584596)"
"['Henry Street', 'Mill Street', 'Hicks Street']",585.647,"LINESTRING (-74.0026257 40.6774412, -74.0027396 40.677208, -74.0028936 40.6769186, -74.0031619 40.6763594, -74.0032031 40.6762735, -74.0034249 40.6758112, -74.0034476 40.6757639, -74.0035103 40.6756333, -74.0041093 40.6757999, -74.0050803 40.6760699, -74.0047717 40.6767121, -74.0044618 40.6773569, -74.0041877 40.6779277, -74.0041458 40.6780149)"
"['17th Court', '17th Avenue']",596.953,"LINESTRING (-74.00978 40.603861, -74.008369 40.605217, -74.00978 40.603861, -74.010751 40.602916, -74.0106742 40.6028693, -74.0103846 40.6026934, -74.010017 40.60247)"
"['West 15th Street', 'Hart Place']",1161.14,"LINESTRING (-73.9823238 40.5755257, -73.9824081 40.5756561, -73.9824686 40.5759704, -73.9825188 40.5762319, -73.9825238 40.5762579, -73.9825679 40.5764878, -73.9826233 40.5767754, -73.9826416 40.5768703, -73.9826563 40.5769472, -73.982754 40.5774579, -73.9830556 40.5790209, -73.983081 40.5791626, -73.9831088 40.5793051, -73.9837054 40.5824175, -73.9846296 40.5815396, -73.9849749 40.5812324, -73.9852111 40.5810223, -73.985556 40.5807154, -73.9856686 40.5807027, -73.985556 40.5807154, -73.9852111 40.5810223, -73.9849749 40.5812324, -73.9846296 40.5815396)"
"['East New York Avenue', 'Remsen Avenue']",652.4440000000001,"LINESTRING (-73.9315994 40.6632514, -73.9323197 40.6629498, -73.9327155 40.6627878, -73.9327674 40.6627666, -73.9330418 40.6626543, -73.9322835 40.6627062, -73.9322059 40.6627115, -73.9320894 40.6627195, -73.931556 40.662756, -73.9310894 40.6627823, -73.9308536 40.6625558, -73.930496 40.6622525, -73.9294561 40.6613225, -73.930496 40.6622525)"
"['Avenue X', 'Burnett Street']",874.905,"LINESTRING (-73.9335533 40.6026891, -73.931734 40.601062, -73.929922 40.599437, -73.9281487 40.5978496, -73.9281452 40.5978383, -73.9281342 40.5978028, -73.9281842 40.597729, -73.928791 40.597323, -73.9288189 40.597305, -73.9291392 40.5971187, -73.9295945 40.5968404)"
"['Moore Place', 'East 16th Street', 'East 17th Street']",1065.618,"LINESTRING (-73.957406 40.609131, -73.9573905 40.609049, -73.957261 40.608366, -73.9567977 40.6059086, -73.956589 40.604909, -73.9556532 40.6049839, -73.955831 40.606008, -73.956298 40.608466, -73.9564849 40.6094502, -73.956502 40.60954)"
"['Floyd Bennett Drive', 'Floyd Bennet Drive']",1026.458,"LINESTRING (-73.8848191 40.5830205, -73.8857859 40.5827393, -73.8848191 40.5830205, -73.8846999 40.5830552, -73.8836841 40.5833506, -73.8830092 40.5835469, -73.8817709 40.5839071, -73.8805578 40.5842599, -73.8803845 40.5843606, -73.8803174 40.5844229, -73.8802917 40.5845467, -73.880326 40.5846836, -73.8806093 40.5852442, -73.8807208 40.5855245, -73.8809258 40.5862342, -73.8809468 40.5863071, -73.8812272 40.5872779, -73.8809468 40.5863071)"
"['Brooklyn Bridge', 'Adams Street']",924.615,"LINESTRING (-73.9886304 40.6961112, -73.9886401 40.6962411, -73.9886428 40.6962844, -73.9886396 40.6963481, -73.9886379 40.6963833, -73.9886269 40.6966051, -73.988572 40.697537, -73.9885385 40.6980219, -73.9885272 40.6981677, -73.9885245 40.6982552, -73.9885239 40.6983645, -73.9885249 40.6985963, -73.9885231 40.6987198, -73.9885178 40.6988323, -73.9884973 40.6991797, -73.9884976 40.6992295, -73.9884993 40.6992767, -73.9885065 40.6993334, -73.9885163 40.6994005, -73.9885295 40.6994632, -73.9885515 40.6995331, -73.9885701 40.6995827, -73.9885935 40.6996329, -73.9886245 40.6996912, -73.9886483 40.6997307, -73.9886765 40.699771, -73.9887106 40.6998171, -73.9887474 40.6998627, -73.9887756 40.6998938, -73.9888038 40.6999244, -73.9888524 40.699975, -73.9889031 40.7000213, -73.9889549 40.7000607, -73.9890132 40.7001018, -73.9890718 40.7001389, -73.9892305 40.7002334, -73.9894385 40.700371, -73.9896331 40.7004993, -73.9897713 40.7005909, -73.9898491 40.7006457, -73.9899491 40.7007192, -73.9900445 40.7007925, -73.9901171 40.7008726, -73.9903522 40.7010568, -73.9906352 40.7012898, -73.9908433 40.7014447, -73.9910321 40.7015971, -73.9912491 40.7017643, -73.9919685 40.7023222, -73.9929257 40.7030828)"
"['Imlay Street', 'Summit Street']",701.981,"LINESTRING (-74.0117 40.679365, -74.0116303 40.6794245, -74.010451 40.6804311, -74.0092 40.681496, -74.0079821 40.6825395, -74.0079389 40.6825765, -74.0067912 40.6835518, -74.0067609 40.6835775, -74.0066792 40.6835968, -74.0060702 40.6831963)"
"['Ashland Place', 'Hanson Place']",1057.9550000000002,"LINESTRING (-73.978335 40.687867, -73.9783425 40.6879692, -73.9784293 40.6886568, -73.9785698 40.6896079, -73.9786071 40.6897632, -73.9786249 40.6898326, -73.9786071 40.6897632, -73.9785698 40.6896079, -73.9784293 40.6886568, -73.9783425 40.6879692, -73.978335 40.687867, -73.9783279 40.6877692, -73.9782193 40.6869092, -73.978208 40.68682, -73.9781984 40.686756, -73.9780608 40.6858433, -73.9779681 40.685228, -73.9779581 40.6851809, -73.9779534 40.6851587, -73.9779262 40.6851267, -73.9778663 40.6851153, -73.9777991 40.6851138, -73.9770892 40.6851938, -73.9770204 40.6852024, -73.9769705 40.6852067, -73.976297 40.6852872, -73.9761993 40.6852986, -73.9761171 40.6853079, -73.9752475 40.6854062, -73.9747243 40.6854669, -73.9743743 40.6855044, -73.974281 40.6855064)"
"['East 35th Street', 'Victor Road', 'East 34th Street']",1203.9260000000002,"LINESTRING (-73.945016 40.644568, -73.9449137 40.6436036, -73.944901 40.643484, -73.9446663 40.6413089, -73.9446627 40.6412784, -73.944653 40.6411952, -73.9446446 40.6411164, -73.94455 40.640226, -73.944541 40.6401666, -73.944441 40.639509, -73.9435167 40.639567, -73.9436086 40.6402251, -73.943617 40.640285, -73.9437089 40.6411065, -73.9437163 40.6411723, -73.9437254 40.6412532, -73.9437341 40.6413351, -73.943969 40.643542, -73.9440716 40.6445237, -73.944079 40.644594)"
"['Avenue X', 'Bergen Avenue']",1714.5720000000001,"LINESTRING (-73.9091422 40.6256571, -73.9082584 40.6252381, -73.9078033 40.6250384, -73.9062329 40.624333, -73.9059183 40.6240394, -73.903812 40.62219, -73.901989 40.620563, -73.9016068 40.6201948, -73.9004239 40.6191321, -73.9002951 40.619015, -73.9001967 40.6189256, -73.8992733 40.6180897, -73.8985097 40.6174071, -73.8984412 40.61731, -73.8985088 40.6171938, -73.89911 40.6168, -73.8985088 40.6171938, -73.898364 40.6172631, -73.8983466 40.6173313, -73.898415 40.617427, -73.8984682 40.6174781, -73.8988803 40.6178739, -73.9000092 40.6188862, -73.9001142 40.6189804)"
"['21st Drive', 'Bay 25th Street']",917.0260000000001,"LINESTRING (-73.997512 40.604163, -73.9975908 40.604087, -73.9991852 40.6025485, -73.999279 40.602458, -74.000838 40.600958, -74.002122 40.599719, -74.0021842 40.5996584, -74.002414 40.599435, -74.0029534 40.5989101, -74.0030736 40.598771, -74.0029902 40.5986868, -74.0028845 40.598593, -74.0027495 40.5985057, -74.002693 40.5984684, -74.0026286 40.5984275, -74.0025253 40.5983606, -74.002396 40.598277, -74.0021751 40.5981448, -74.0019281 40.5979969, -74.0017795 40.597908, -74.001691 40.597855)"
"['Shore Parkway', '21st Avenue']",1016.392,"LINESTRING (-74.001691 40.597855, -74.001269 40.5982891, -74.0011842 40.598364, -74.0008081 40.5987002, -74.000738 40.598766, -74.0008081 40.5987002, -74.0011842 40.598364, -74.001269 40.5982891, -74.001691 40.597855, -74.0018803 40.5976843, -74.0025238 40.5970783, -74.0025753 40.5970597, -74.0026536 40.5970444, -74.0027181 40.5970508, -74.0027932 40.597063, -74.0029226 40.5971041, -74.0037427 40.5973644, -74.004992 40.59813, -74.0068495 40.5992455, -74.007195 40.599453, -74.007947 40.599897, -74.008714 40.600357)"
"['East 102nd Street', 'Farragut Road']",1387.562,"LINESTRING (-73.893247 40.642806, -73.8935832 40.6431081, -73.8947451 40.6441523, -73.8949717 40.6443559, -73.895063 40.644438, -73.8951422 40.6445091, -73.8954016 40.6447422, -73.8965362 40.6457615, -73.8968155 40.6460126, -73.896904 40.646092, -73.8970107 40.6461875, -73.8984684 40.6474952, -73.8984996 40.6475232, -73.898554 40.647572, -73.8986148 40.647627, -73.9001467 40.649012, -73.9001411 40.6490523, -73.9001215 40.6491064, -73.9000824 40.649155, -73.899469 40.649542, -73.8991374 40.6497581, -73.898728 40.650025, -73.8980898 40.650438, -73.89802 40.6504834, -73.8979113 40.6505525, -73.8969408 40.651182, -73.8959526 40.6518217, -73.895861 40.651881)"
"['East 38th Street', 'Avenue V']",1264.6879999999999,"LINESTRING (-73.923011 40.606716, -73.922301 40.607179, -73.923011 40.606716, -73.923245 40.6065677, -73.923731 40.606253, -73.9244615 40.6058096, -73.9248818 40.606189, -73.9259527 40.6071457, -73.926249 40.607414, -73.928066 40.609055, -73.9298168 40.6106251, -73.929887 40.610688, -73.9316151 40.612237, -73.93171 40.612322)"
"['Vermont Street', 'Jackie Robinson Parkway']",1024.82,"LINESTRING (-73.8949322 40.6759984, -73.895318 40.677496, -73.8956793 40.6788999, -73.895698 40.678971, -73.8957183 40.6790553, -73.8959809 40.6801179, -73.8960451 40.680394, -73.8961463 40.680822, -73.8962451 40.6813947, -73.896255 40.681574, -73.8962127 40.6823865, -73.8961827 40.6824768, -73.8960788 40.6826466, -73.8953319 40.6835799, -73.894758 40.684287, -73.8944081 40.6847494)"
