dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,timestamp_hour,hour_id
1546300800,2019-01-01 00:00:00 ,-18000,New York,40.712775,-74.005973,279.95,278.11,278.9,280.49,1021,,,91,2.6,0,2.92,,,,90,701,Mist,mist,50n,2019-01-01 00:00:00,0
1546304400,2019-01-01 01:00:00 ,-18000,New York,40.712775,-74.005973,280.05,277.56,279.12,280.58,1019,,,92,3.6,90,3.65,,,,90,701,Mist,mist,50n,2019-01-01 01:00:00,1
1546308000,2019-01-01 02:00:00 ,-18000,New York,40.712775,-74.005973,280.34,277.65,279.79,280.98,1017,,,94,4.1,50,4.57,,,,90,701,Mist,mist,50n,2019-01-01 02:00:00,2
1546311600,2019-01-01 03:00:00 ,-18000,New York,40.712775,-74.005973,280.4,277.26,279.79,281.12,1014,,,93,5.1,40,5.04,12.7,,,90,502,Rain,heavy intensity rain,10n,2019-01-01 03:00:00,3
1546315200,2019-01-01 04:00:00 ,-18000,New York,40.712775,-74.005973,281.02,278.75,280.01,281.5,1012,,,94,3.6,40,2.99,,,,90,501,Rain,moderate rain,10n,2019-01-01 04:00:00,4
1546318800,2019-01-01 05:00:00 ,-18000,New York,40.712775,-74.005973,281.92,281.4,280.42,282.68,1009,,,95,1.5,0,3.33,,,,90,501,Rain,moderate rain,10n,2019-01-01 05:00:00,5
1546322400,2019-01-01 06:00:00 ,-18000,New York,40.712775,-74.005973,282.32,281.29,280.42,283.24,1008,,,95,2.1,270,0.76,,,,90,500,Rain,light rain,10n,2019-01-01 06:00:00,6
1546326000,2019-01-01 07:00:00 ,-18000,New York,40.712775,-74.005973,282.67,281.34,280.42,283.8,1005,,,94,2.6,260,0.42,,,,90,500,Rain,light rain,10n,2019-01-01 07:00:00,7
1546329600,2019-01-01 08:00:00 ,-18000,New York,40.712775,-74.005973,283.12,281.07,280.91,284.49,1004,,,95,4.1,280,0.25,,,,90,500,Rain,light rain,10n,2019-01-01 08:00:00,8
1546333200,2019-01-01 09:00:00 ,-18000,New York,40.712775,-74.005973,283.65,283.21,282.01,285.34,1004,,,94,6.2,270,0.25,0.8,,,90,500,Rain,light rain,10n,2019-01-01 09:00:00,9
1546336800,2019-01-01 10:00:00 ,-18000,New York,40.712775,-74.005973,285.19,284.9,283.68,287.16,1003,,,94,5.7,270,0.25,,,,90,701,Mist,mist,50n,2019-01-01 10:00:00,10
1546340400,2019-01-01 11:00:00 ,-18000,New York,40.712775,-74.005973,285.91,285.67,284.31,287.62,1004,,,93,7.7,270,0.25,,,,90,500,Rain,light rain,10n,2019-01-01 11:00:00,11
1546344000,2019-01-01 12:00:00 ,-18000,New York,40.712775,-74.005973,286.48,286.19,285.03,287.78,1004,,,89,8.2,270,0.25,,,,1,500,Rain,light rain,10n,2019-01-01 12:00:00,12
1546347600,2019-01-01 13:00:00 ,-18000,New York,40.712775,-74.005973,286.72,286.38,285.34,288.14,1005,,,86,5.7,270,0.25,,,,20,500,Rain,light rain,10d,2019-01-01 13:00:00,13
1546351200,2019-01-01 14:00:00 ,-18000,New York,40.712775,-74.005973,287.42,287.02,286.14,288.27,1006,,,81,7.2,270,,,,,90,804,Clouds,overcast clouds,04d,2019-01-01 14:00:00,14
