name,length,geometry
"['Paladino Avenue', 'East 120th Street']",592.0039999999999,"LINESTRING (-73.9314544 40.8004726, -73.9313837 40.8004419, -73.9306326 40.8001234, -73.9305563 40.800088, -73.9304929 40.8000554, -73.9304352 40.8000179, -73.9303623 40.7999588, -73.9303104 40.7999017, -73.9302623 40.7998371, -73.9302249 40.7997705, -73.9302001 40.7997111, -73.9299371 40.7990276, -73.9297946 40.7986585, -73.9297223 40.798457, -73.92965 40.7982376, -73.9296032 40.7980538, -73.9295714 40.7978931, -73.9295576 40.7977666, -73.929544 40.797601, -73.9295458 40.7973252, -73.9295549 40.7972544, -73.9295614 40.7972208, -73.9295764 40.7971883, -73.9295975 40.7971595, -73.9296255 40.7971343, -73.9296594 40.7971087, -73.9296997 40.7970887, -73.9297395 40.7970786, -73.9297866 40.7970731, -73.9298391 40.7970729, -73.9298866 40.7970781, -73.9299376 40.7970887, -73.9299882 40.7971065, -73.9311446 40.79759, -73.9312098 40.7976137, -73.9312818 40.7976374)"
"['Henry Hudson Parkway', 'West Side Highway']",1945.762,"LINESTRING (-73.9831727 40.7873411, -73.9832516 40.7871207, -73.9833312 40.7869156, -73.9834157 40.7867043, -73.9835075 40.7864975, -73.983602 40.7862987, -73.9837097 40.7860967, -73.9838262 40.7859014, -73.9840057 40.7856546, -73.9841179 40.7854887, -73.9842875 40.7852267, -73.9844219 40.7850319, -73.9845549 40.7848363, -73.9846867 40.7846469, -73.9848209 40.7844556, -73.9849556 40.7842652, -73.9850932 40.7840794, -73.9852317 40.7838886, -73.9853737 40.7836911, -73.986687 40.78189, -73.9867605 40.7817928, -73.9868241 40.7817167, -73.9869698 40.7815567, -73.9870165 40.7815039, -73.9876333 40.7808703, -73.9877983 40.7806934, -73.987963 40.7805106, -73.9881206 40.7803211, -73.9882706 40.7801289, -73.988414 40.7799364, -73.9920193 40.7749972, -73.9924462 40.7744006, -73.9931589 40.7733899, -73.9931716 40.7733719, -73.9940072 40.7722406, -73.9941842 40.7719981)"
"['George Washington Bridge (upper level)', 'Trans-Manhattan Expressway']",1290.299,"LINESTRING (-73.9300035 40.845972, -73.930431 40.8460341, -73.9309682 40.8461615, -73.9311142 40.8461977, -73.9312515 40.846237, -73.931374 40.8462733, -73.93149 40.8463147, -73.9316197 40.8463654, -73.9329768 40.8469376, -73.9333616 40.8471117, -73.9336724 40.8472337, -73.9339296 40.8473406, -73.9342748 40.8474862, -73.9353605 40.8479449, -73.9356771 40.8480779, -73.9368347 40.8485579, -73.9369736 40.8486097, -73.9371125 40.8486547, -73.9372599 40.848695, -73.9374199 40.8487308, -73.9375744 40.8487648, -73.9394651 40.8491305, -73.9397243 40.8491797, -73.9407496 40.8493662, -73.9413683 40.8494869, -73.944232 40.8500714)"
"['George Washington Bridge (upper level)', 'Trans-Manhattan Expressway']",1289.0680000000002,"LINESTRING (-73.9440035 40.8499374, -73.9414056 40.8493995, -73.9395052 40.8490227, -73.9375868 40.8486394, -73.9374614 40.8486115, -73.9373253 40.8485749, -73.9371822 40.8485362, -73.9370502 40.848494, -73.9369128 40.848449, -73.9367655 40.8483934, -73.935753 40.847975, -73.9354347 40.8478404, -73.9343507 40.8473833, -73.9340055 40.8472377, -73.9337032 40.8471102, -73.9334321 40.847016, -73.9332474 40.8469389, -73.9326523 40.8466696, -73.9325254 40.8466118, -73.9324119 40.8465637, -73.9322919 40.8465162, -73.9316241 40.8462487, -73.9315091 40.8462096, -73.9314026 40.8461757, -73.9312697 40.8461396, -73.9308871 40.8460448, -73.9306684 40.8459903, -73.9304743 40.8459383, -73.9301831 40.8458642, -73.9298217 40.8457405)"
"['Madison Avenue', 'Harlem River Drive']",647.011,"LINESTRING (-73.9344659 40.8171783, -73.9344411 40.8171561, -73.9344162 40.8171265, -73.9343915 40.8170847, -73.9343738 40.8170463, -73.934358 40.8170011, -73.9343495 40.8169633, -73.9343477 40.8169324, -73.9343501 40.8168661, -73.9344443 40.8158343, -73.9345542 40.8147435, -73.9345778 40.8145149, -73.934587 40.8144675, -73.9346005 40.814424, -73.9346168 40.8143816, -73.9346348 40.8143449, -73.9346833 40.8142611, -73.9347271 40.8141986, -73.9348455 40.814049, -73.9348294 40.8140148, -73.9348236 40.8139905, -73.934803 40.8139713, -73.9347723 40.813949, -73.9346899 40.8139047, -73.9346615 40.8138836, -73.9346386 40.8138535, -73.934624 40.8138239, -73.9346108 40.8137847, -73.9346082 40.8137474, -73.9346116 40.8137089, -73.9346463 40.8133174, -73.9347322 40.8125657, -73.9347802 40.8122596, -73.9348615 40.8117604, -73.9348719 40.8117081, -73.9348857 40.8116473, -73.9349267 40.8115152)"
"['Overlook Terrace', 'West 190th Street']",736.5350000000001,"LINESTRING (-73.9360382 40.8549324, -73.9360631 40.8548672, -73.9363021 40.8542428, -73.9363282 40.8541541, -73.9363522 40.8540497, -73.9363655 40.8539501, -73.9363632 40.8538229, -73.9363655 40.8539501, -73.9363522 40.8540497, -73.9363282 40.8541541, -73.9363021 40.8542428, -73.9360631 40.8548672, -73.9360382 40.8549324, -73.936013 40.8549923, -73.9359256 40.8551888, -73.9358584 40.8553164, -73.9358096 40.8554042, -73.9357526 40.8555069, -73.9356813 40.8556192, -73.9356073 40.8557219, -73.9354612 40.855928, -73.9350769 40.8564379, -73.9349014 40.8566707, -73.9348758 40.8567119, -73.9348568 40.8567453, -73.9348441 40.8567798, -73.9348385 40.8568077, -73.9348377 40.8568241, -73.9348399 40.8568435, -73.9348519 40.8568661, -73.9348715 40.8568867, -73.9348917 40.856903, -73.934928 40.8569258, -73.9349648 40.8569428, -73.9350044 40.8569573, -73.9350562 40.8569736, -73.935499 40.8570845, -73.935602 40.857109, -73.9357243 40.8571394, -73.936431 40.8573141, -73.9365005 40.8573312, -73.936584 40.8573519, -73.9365005 40.8573312, -73.936431 40.8573141, -73.9357243 40.8571394, -73.935602 40.857109)"
"['Fort George Avenue', 'Amsterdam Avenue']",1102.972,"LINESTRING (-73.9276972 40.8524955, -73.9276565 40.8525508, -73.9272832 40.8530587, -73.927239 40.8531188, -73.9272013 40.853171, -73.9268629 40.8536393, -73.9268061 40.8537179, -73.9267483 40.8537962, -73.9259054 40.8549367, -73.9251361 40.8559729, -73.9248625 40.8563688, -73.9247346 40.8565738, -73.9246507 40.8567838, -73.9246294 40.8569667, -73.9246518 40.8571601, -73.9247017 40.8573046, -73.92477 40.857446, -73.92484 40.857603, -73.924932 40.857761, -73.925031 40.857896, -73.925082 40.857957, -73.925203 40.8580658, -73.9253114 40.858124, -73.9254058 40.8581637, -73.925459 40.8581768, -73.9255442 40.8582009, -73.9256869 40.8582293, -73.9258489 40.8582351, -73.925998 40.8582157, -73.926091 40.8582003, -73.9261013 40.8581993, -73.9261439 40.8581925, -73.9262437 40.8581619, -73.926357 40.858096, -73.9264712 40.858025, -73.9265602 40.8579495, -73.9266257 40.8578761, -73.9266696 40.8577931, -73.9267179 40.8577199, -73.9267673 40.8576572, -73.926852 40.857574, -73.9269325 40.8574819, -73.9272724 40.8572494, -73.9274354 40.8571682, -73.9279285 40.8569877, -73.9281333 40.8568705, -73.928266 40.8568009, -73.9281333 40.8568705, -73.9279285 40.8569877, -73.9274354 40.8571682)"
"['River Terrace', 'Vesey Place']",501.843,"LINESTRING (-74.0159377 40.715103, -74.0160496 40.7151527, -74.0161453 40.7151953, -74.0166538 40.715422, -74.0166749 40.7154554, -74.0166727 40.7154952, -74.0166449 40.7155512, -74.0166292 40.7155813, -74.016553 40.7157279, -74.0165036 40.7158582, -74.0164627 40.7160056, -74.0164483 40.7161667, -74.0164429 40.7163193, -74.0164411 40.716379, -74.016438 40.7164852, -74.0164215 40.7166499, -74.0163887 40.7167668, -74.0163427 40.7168824, -74.0162955 40.7169799, -74.0162892 40.7169928, -74.01626 40.7170498, -74.0162221 40.7171237, -74.01607 40.7173573, -74.0159298 40.7175205, -74.015769 40.717671, -74.0159298 40.7175205, -74.01607 40.7173573, -74.0162221 40.7171237, -74.01626 40.7170498, -74.0162892 40.7169928, -74.0162955 40.7169799, -74.0163427 40.7168824, -74.0163887 40.7167668, -74.0164215 40.7166499, -74.016438 40.7164852, -74.0164411 40.716379, -74.0164429 40.7163193)"
"['George Washington Bridge (lower level)', 'Trans-Manhattan Expressway']",1292.4609999999998,"LINESTRING (-73.9300035 40.845972, -73.9304054 40.8461008, -73.9305923 40.8461637, -73.9307421 40.8462177, -73.930883 40.8462734, -73.9317621 40.8466364, -73.9324418 40.8469178, -73.932585 40.8469741, -73.9327345 40.8470333, -73.9328886 40.8470916, -73.9332834 40.8472177, -73.9336036 40.8473395, -73.9338633 40.847447, -73.9341989 40.8475892, -73.9352832 40.8480447, -73.9356013 40.8481808, -73.9368176 40.8486846, -73.9369512 40.8487351, -73.9371188 40.8487845, -73.9372496 40.8488151, -73.9373701 40.8488414, -73.9375362 40.8488739, -73.9393422 40.849217, -73.9394703 40.8492402, -73.9413827 40.8496118, -73.9422332 40.8497714, -73.9433872 40.8500004, -73.9436131 40.8500345, -73.9442378 40.8500952)"
"['Trans-Manhattan Expressway', 'George Washington Bridge (lower level)']",1293.607,"LINESTRING (-73.9440021 40.8499148, -73.9436829 40.8497852, -73.9435298 40.8497347, -73.9434035 40.8496999, -73.9423557 40.8494881, -73.9403326 40.8490874, -73.9399281 40.8489905, -73.9394575 40.8488944, -73.9377514 40.8485636, -73.9375855 40.8485258, -73.937444 40.8484902, -73.9372886 40.8484456, -73.9371256 40.848395, -73.9369555 40.8483341, -73.9368025 40.848276, -73.9358289 40.847872, -73.9355094 40.8477385, -73.9344265 40.8472804, -73.9340814 40.8471348, -73.9337645 40.8469999, -73.9335402 40.8468694, -73.9334402 40.846812, -73.9333146 40.8467489, -73.9332003 40.8466925, -73.9330814 40.8466372, -73.9329591 40.8465811, -73.9328454 40.8465299, -73.9316178 40.846013, -73.9314592 40.8459486, -73.9313976 40.8459253, -73.9313293 40.8459036, -73.9312648 40.8458852, -73.9311943 40.8458685, -73.9311218 40.8458545, -73.9310449 40.8458438, -73.9309043 40.8458309, -73.930775 40.8458224, -73.9306443 40.8458192, -73.9305076 40.8458174, -73.9304177 40.8458154, -73.9303296 40.8458085, -73.9302307 40.8457961, -73.9298217 40.8457405)"
